,year_make,model_trim,price,state,miles,source,type
0, 2016 Acura TLX, 4dr Sdn FWD ,18495,MD,69000.0,autonation,sedan
1, 2017 Acura TLX, FWD V6 w/Technology Pkg ,22995,VA,56000.0,autonation,sedan
2, 2009 Acura TL, 4dr Sdn SH-AWD ,9985,OH,87000.0,autonation,sedan
3, 2009 Acura TSX, 4dr Sdn Auto ,7989,OH,155000.0,autonation,sedan
4, 2021 Acura TLX, FWD w/A-Spec Package ,39470,IL,3000.0,autonation,sedan
5, 2006 Acura TL, 4dr Sdn AT ,6299,IL,190000.0,autonation,sedan
6, 2019 Acura TLX, 3.5L FWD w/A-Spec Pkg ,33486,IL,30000.0,autonation,sedan
7, 2016 Acura TLX, 4dr Sdn FWD ,21000,IL,42000.0,autonation,sedan
8, 2016 Acura RLX, 4dr Sdn Hybrid Advance Pkg ,26000,IL,67000.0,autonation,sedan
9, 2019 Acura TLX, 3.5L SH-AWD w/Advance Pkg ,33500,IL,14000.0,autonation,sedan
10, 2020 Acura TLX, 2.4L FWD ,28495,TN,18000.0,autonation,sedan
11, 2019 Acura TLX, 2.4L FWD w/A-Spec Pkg ,29999,FL,34000.0,autonation,sedan
12, 2016 Acura TLX, 4dr Sdn FWD V6 Tech ,14995,FL,183000.0,autonation,sedan
13, 2012 Acura TSX, 4dr Sdn I4 Auto Tech Pkg ,11988,FL,132000.0,autonation,sedan
14, 2013 Acura TSX, 4dr Sdn I4 Auto Special Edition ,15952,FL,64000.0,autonation,sedan
15, 2015 Acura TLX, 4dr Sdn FWD V6 Tech ,19650,FL,72000.0,autonation,sedan
16, 2015 Acura TLX, 4dr Sdn SH-AWD V6 Tech ,20995,FL,62000.0,autonation,sedan
17, 2018 Acura TLX, 2.4L FWD ,25991,FL,37000.0,autonation,sedan
18, 2020 Acura TLX, 3.5L FWD w/Technology Pkg ,35995,AL,8000.0,autonation,sedan
19, 2008 Acura TL, 4dr Sdn Auto Type-S ,9295,FL,153000.0,autonation,sedan
20, 2014 Acura ILX, 4dr Sdn 2.0L Tech Pkg ,13995,FL,89000.0,autonation,sedan
21, 2014 Acura RLX, 4dr Sdn Advance Pkg ,19995,FL,49000.0,autonation,sedan
22, 2015 Acura TLX, 4dr Sdn FWD V6 Tech ,14997,FL,133000.0,autonation,sedan
23, 2018 Acura TLX, 3.5L FWD w/A-SPEC Pkg ,31998,FL,17000.0,autonation,sedan
24, 2021 Acura TLX, FWD w/Advance Package ,39860,FL,14000.0,autonation,sedan
25, 2020 Acura TLX, 2.4L FWD w/A-Spec Pkg ,32400,FL,6000.0,autonation,sedan
26, 2019 Acura TLX, 2.4L FWD w/A-Spec Pkg ,30228,FL,19000.0,autonation,sedan
27, 2016 Acura TLX, 4dr Sdn FWD ,16990,FL,119000.0,autonation,sedan
28, 2015 Acura ILX, 4dr Sdn 2.0L ,15995,FL,93000.0,autonation,sedan
29, 2019 Acura TLX, 3.5L FWD ,25495,FL,42000.0,autonation,sedan
30, 2019 Acura TLX, 2.4L FWD w/A-Spec Pkg ,28452,FL,32000.0,autonation,sedan
31, 2019 Acura TLX, 3.5L FWD w/A-Spec Pkg ,28459,FL,37000.0,autonation,sedan
32, 2013 Acura ILX, 4dr Sdn 2.0L Premium Pkg ,13995,FL,95000.0,autonation,sedan
33, 2014 Acura ILX, 4dr Sdn 2.0L Premium Pkg ,14900,FL,113000.0,autonation,sedan
34, 2019 Acura TLX, 3.5L FWD w/A-Spec Pkg ,33495,TX,17000.0,autonation,sedan
35, 2002 Acura TL, 4dr Sdn 3.2L Type S ,4416,TX,224000.0,autonation,sedan
36, 2020 Acura TLX, 2.4L FWD ,26999,TX,39000.0,autonation,sedan
37, 2020 Acura TLX, 3.5L FWD w/Technology Pkg ,31985,TX,12000.0,autonation,sedan
38, 2018 Acura TLX, 2.4L FWD w/Technology Pkg ,26795,TX,22000.0,autonation,sedan
39, 2015 Acura TLX, 4dr Sdn FWD V6 ,18591,TX,84000.0,autonation,sedan
40, 2015 Acura ILX, 4dr Sdn 2.0L ,13393,TX,105000.0,autonation,sedan
41, 2010 Acura TL, 4dr Sdn Auto SH-AWD Tech ,10888,TX,136000.0,autonation,sedan
42, 2013 Acura TL, 4dr Sdn Auto 2WD ,12992,TX,115000.0,autonation,sedan
43, 2012 Acura TSX, 4dr Sdn I4 Auto ,11983,TX,101000.0,autonation,sedan
44, 2012 Acura TL, 4dr Sdn Auto 2WD Tech ,12916,TX,122000.0,autonation,sedan
45, 2015 Acura ILX, 4dr Sdn 2.0L ,16888,TX,81000.0,autonation,sedan
46, 2016 Acura TLX, 4dr Sdn FWD V6 ,20999,CO,30000.0,autonation,sedan
47, 2007 Acura TL, 4dr Sdn AT Type-S ,9998,CO,124000.0,autonation,sedan
48, 2015 Acura TLX, 4dr Sdn SH-AWD V6 Tech ,19998,CO,71000.0,autonation,sedan
49, 2021 Acura TLX, SH-AWD w/Advance Package ,41599,CO,6000.0,autonation,sedan
50, 2009 Acura TSX, 4dr Sdn Auto Tech Pkg ,9999,CO,128000.0,autonation,sedan
51, 2018 Acura ILX, Special Edition Sedan ,22998,AZ,22000.0,autonation,sedan
52, 2018 Acura TLX, 3.5L FWD w/A-SPEC Pkg Red Leather ,29998,AZ,47000.0,autonation,sedan
53, 2014 Acura TL, 4dr Sdn Auto 2WD Special Edition ,15460,AZ,82000.0,autonation,sedan
54, 2019 Acura TLX, 3.5L FWD w/A-Spec Pkg ,30598,AZ,49000.0,autonation,sedan
55, 2019 Acura TLX, 3.5L SH-AWD w/Technology Pkg ,30785,AZ,12000.0,autonation,sedan
56, 2010 Acura TL, 4dr Sdn 2WD Tech ,9995,AZ,136000.0,autonation,sedan
57, 2006 Acura TL, 4dr Sdn AT ,10990,AZ,55000.0,autonation,sedan
58, 2015 Acura TLX, 4dr Sdn SH-AWD V6 Tech ,20997,WA,63000.0,autonation,sedan
59, 2012 Acura TL, 4dr Sdn Auto SH-AWD Tech ,12496,WA,145000.0,autonation,sedan
60, 2016 Acura TLX, 4dr Sdn FWD V6 Tech ,20992,NV,61000.0,autonation,sedan
61, 2017 Acura RLX, Sedan w/Technology Pkg ,27398,NV,29000.0,autonation,sedan
62, 2015 Acura TLX, 4dr Sdn FWD ,17598,NV,70000.0,autonation,sedan
63, 2017 Acura ILX, Sedan ,21999,CA,5000.0,autonation,sedan
