,year_make,model_trim,price,state,miles,source
0, 2019 Acura RDX, AWD w/Advance Pkg ,32995,MD,63000.0,autonation
1, 2017 Acura MDX, SH-AWD w/Advance Pkg ,34301,MD,37000.0,autonation
2, 2022 Acura MDX, SH-AWD w/A-Spec Package ,55990,VA,3000.0,autonation
3, 2019 Acura RDX, AWD ,28970,NY,44000.0,autonation
4, 2019 Acura RDX, AWD w/Technology Pkg ,32495,TN,64000.0,autonation
5, 2020 Acura MDX, FWD 7-Passenger w/Technology Pkg ,42995,TN,20000.0,autonation
6, 2011 Acura MDX, AWD 4dr Tech Pkg ,11686,GA,148000.0,autonation
7, 2020 Acura MDX, SH-AWD 7-Passenger w/Technology Pkg ,45499,IL,6000.0,autonation
8, 2011 Acura MDX, AWD 4dr ,15499,IL,96000.0,autonation
9, 2019 Acura MDX, SH-AWD w/Technology/Entertainment Pkg ,44991,IL,16000.0,autonation
10, 2015 Acura MDX, SH-AWD 4dr Tech/Entertainment Pkg ,22320,IL,94000.0,autonation
11, 2017 Acura MDX, SH-AWD w/Advance/Entertainment Pkg ,30955,IL,53000.0,autonation
12, 2019 Acura MDX, SH-AWD w/Advance Pkg ,42305,IL,21000.0,autonation
13, 2013 Acura RDX, AWD 4dr Tech Pkg ,14750,IL,107000.0,autonation
14, 2015 Acura RDX, AWD 4dr Tech Pkg ,22689,GA,43000.0,autonation
15, 2012 Acura MDX, AWD 4dr Advance Pkg ,18599,GA,106000.0,autonation
16, 2020 Acura MDX, FWD 7-Passenger w/Technology Pkg ,38992,FL,30000.0,autonation
17, 2019 Acura MDX, FWD ,34495,TN,40000.0,autonation
18, 2012 Acura RDX, FWD 4dr Tech Pkg ,13995,FL,99000.0,autonation
19, 2013 Acura RDX, FWD 4dr Tech Pkg ,13459,FL,121000.0,autonation
20, 2014 Acura RDX, FWD 4dr Tech Pkg ,15995,FL,118000.0,autonation
21, 2015 Acura MDX, FWD 4dr Tech Pkg ,23795,FL,83000.0,autonation
22, 2015 Acura RDX, FWD 4dr Tech Pkg ,19495,FL,68000.0,autonation
23, 2019 Acura MDX, SH-AWD w/Technology/A-Spec Pkg ,42995,FL,25000.0,autonation
24, 2020 Acura RDX, FWD ,33995,FL,22000.0,autonation
25, 2020 Acura MDX, SH-AWD 7-Passenger w/Technology/A-Spec Pkg ,47173,FL,10000.0,autonation
26, 2020 Acura MDX, SH-AWD 7-Passenger ,37995,FL,13000.0,autonation
27, 2017 Acura RDX, FWD ,22690,FL,49000.0,autonation
28, 2011 Acura RDX, FWD 4dr ,11992,FL,110000.0,autonation
29, 2019 Acura RDX, FWD w/Technology Pkg ,33995,FL,27000.0,autonation
30, 2020 Acura MDX, SH-AWD 7-Passenger w/Technology Pkg ,43489,FL,12000.0,autonation
31, 2019 Acura RDX, FWD w/Advance Pkg ,37989,FL,23000.0,autonation
32, 2017 Acura MDX, SH-AWD w/Technology Pkg ,32390,FL,37000.0,autonation
33, 2014 Acura MDX, FWD 4dr ,17995,FL,105000.0,autonation
34, 2019 Acura RDX, FWD w/Advance Pkg ,34995,FL,25000.0,autonation
35, 2012 Acura MDX, AWD 4dr Tech Pkg ,16554,FL,65000.0,autonation
36, 2020 Acura RDX, FWD ,35498,FL,12000.0,autonation
37, 2019 Acura MDX, FWD ,33985,FL,32000.0,autonation
38, 2018 Acura MDX, FWD ,32495,FL,30000.0,autonation
39, 2019 Acura RDX, FWD w/A-Spec Pkg ,36550,FL,24000.0,autonation
40, 2019 Acura RDX, FWD w/Technology Pkg ,31590,FL,34000.0,autonation
41, 2019 Acura MDX, FWD ,31990,FL,50000.0,autonation
42, 2018 Acura MDX, FWD w/Technology Pkg ,32974,FL,38000.0,autonation
43, 2016 Acura MDX, FWD 4dr w/Tech ,26952,FL,50000.0,autonation
44, 2015 Acura RDX, FWD 4dr ,19974,FL,67000.0,autonation
45, 2020 Acura MDX, FWD 6-Passenger w/Advance Pkg ,46995,FL,7000.0,autonation
46, 2017 Acura RDX, FWD ,25995,TX,38000.0,autonation
47, 2011 Acura MDX, AWD 4dr ,12991,TX,122000.0,autonation
48, 2016 Acura MDX, FWD 4dr w/Tech ,22995,TX,95000.0,autonation
49, 2013 Acura MDX, AWD 4dr Tech Pkg ,18949,TX,87000.0,autonation
50, 2018 Acura MDX, FWD ,33649,TX,35000.0,autonation
51, 2017 Acura RDX, FWD ,23995,TX,58000.0,autonation
52, 2011 Acura MDX, AWD 4dr Tech Pkg ,15999,TX,101000.0,autonation
53, 2013 Acura RDX, FWD 4dr Tech Pkg ,15751,TX,103000.0,autonation
54, 2019 Acura MDX, FWD w/Technology Pkg ,36991,TX,36000.0,autonation
55, 2015 Acura RDX, FWD 4dr Tech Pkg ,18691,TX,89000.0,autonation
56, 2014 Acura RDX, FWD 4dr Tech Pkg ,17493,TX,71000.0,autonation
57, 2004 Acura MDX, 4dr SUV ,5888,TX,219000.0,autonation
58, 2014 Acura RDX, FWD 4dr ,15791,TX,90000.0,autonation
59, 2021 Acura RDX, SH-AWD PMC Edition ,49291,TX,7000.0,autonation
60, 2018 Acura MDX, FWD ,29989,TX,51000.0,autonation
61, 2018 Acura MDX, SH-AWD w/Technology Pkg ,34491,TX,34000.0,autonation
