,year_make,model_trim,price,state,miles,source,type
0,2021 Hyundai ,missing,missing,Location: Camelback Hyundai ,8012.0,berkshire,sedan
1,2021 Kia ,missing,20000,Location: Peoria Ford ,20259.0,berkshire,sedan
2,2021 Nissan ,missing,20130,Location: Reliable Nissan ,2819.0,berkshire,sedan
3,2021 Nissan ,missing,20899,Location: Cerritos Nissan ,6813.0,berkshire,sedan
4,2021 Nissan ,missing,20899,Location: Cerritos Nissan ,4536.0,berkshire,sedan
5,2021 Toyota ,missing,20995,Location: Kenny Kent Toyota ,6614.0,berkshire,sedan
6,2021 Toyota ,missing,20997,Location: Joe Myers Toyota ,11214.0,berkshire,sedan
7,2021 Nissan ,missing,21000,Location: Grapevine Ford ,1793.0,berkshire,sedan
8,2021 Hyundai ,missing,21331,Location: Van Hyundai ,1940.0,berkshire,sedan
9,2021 Toyota ,missing,21393,Location: Camelback Toyota ,17048.0,berkshire,sedan
10,2021 Nissan ,missing,21500,Location: Nissan of McKinney ,11050.0,berkshire,sedan
11,2021 Chevrolet ,missing,21588,Location: Van Chevrolet ,9500.0,berkshire,sedan
12,2021 Volkswagen ,missing,21685,Location: Camelback Volkswagen ,9867.0,berkshire,sedan
13,2021 Volkswagen ,missing,21685,Location: Camelback Volkswagen ,5340.0,berkshire,sedan
14,2021 Volkswagen ,missing,21685,Location: Camelback Volkswagen ,9077.0,berkshire,sedan
15,2021 Toyota ,missing,21891,Location: North Park Toyota of San Antonio ,5522.0,berkshire,sedan
16,2021 Nissan ,missing,21999,Location: Cerritos Nissan ,5624.0,berkshire,sedan
17,2021 Nissan ,missing,21999,Location: Cerritos Nissan ,4455.0,berkshire,sedan
18,2021 Nissan ,missing,21999,Location: Cerritos Nissan ,6823.0,berkshire,sedan
19,2021 Nissan ,missing,22826,Location: Crest Nissan ,4949.0,berkshire,sedan
20,2021 Honda ,missing,22890,Location: Vandergriff Honda ,10562.0,berkshire,sedan
21,2021 Toyota ,missing,22990,Location: Camelback Toyota ,23138.0,berkshire,sedan
22,2021 Nissan ,missing,missing,Location: Cerritos Nissan ,4363.0,berkshire,sedan
23,2021 Toyota ,missing,23539,Location: Vandergriff Toyota ,29132.0,berkshire,sedan
24,2021 Nissan ,missing,23762,Location: Crest Nissan ,6425.0,berkshire,sedan
25,2021 Nissan ,missing,23861,Location: Reliable Nissan ,7786.0,berkshire,sedan
26,2021 Honda ,missing,23890,Location: Vandergriff Honda ,2251.0,berkshire,sedan
27,2021 Volkswagen ,missing,23977,Location: Orlando VW South ,7104.0,berkshire,sedan
28,2021 Hyundai ,missing,24235,Location: Camelback Hyundai ,9942.0,berkshire,sedan
29,2021 Nissan ,missing,missing,Location: Peoria Nissan ,19771.0,berkshire,sedan
30,2021 Toyota ,missing,24995,Location: Reliable Toyota ,12324.0,berkshire,sedan
31,2021 Acura ,missing,25499,Location: Vandergriff Acura ,3104.0,berkshire,sedan
32,2021 Toyota ,missing,25577,Location: Vandergriff Toyota ,12132.0,berkshire,sedan
33,2021 Toyota ,missing,25617,Location: Crest Nissan ,3045.0,berkshire,sedan
34,2021 Toyota ,missing,25937,Location: Vandergriff Toyota ,7092.0,berkshire,sedan
35,2021 Toyota ,missing,26329,Location: Vandergriff Toyota ,4822.0,berkshire,sedan
36,2021 Toyota ,missing,26452,Location: Vandergriff Toyota ,5540.0,berkshire,sedan
37,2021 Toyota ,missing,26457,Location: Toyota of Richardson ,632.0,berkshire,sedan
38,2021 Acura ,missing,26498,Location: Vandergriff Acura ,2867.0,berkshire,sedan
39,2021 Honda ,missing,26500,Location: Town East Ford ,3614.0,berkshire,sedan
40,2021 Nissan ,missing,26500,Location: Crest Nissan ,4952.0,berkshire,sedan
41,2021 Toyota ,missing,26751,Location: Joe Myers Toyota ,1460.0,berkshire,sedan
42,2021 Toyota ,missing,26919,Location: Texas Toyota of Grapevine ,4994.0,berkshire,sedan
43,2021 Toyota ,missing,27618,Location: Vandergriff Toyota ,3742.0,berkshire,sedan
44,2021 Nissan ,missing,27783,Location: Crest Nissan ,6444.0,berkshire,sedan
45,2021 Hyundai ,missing,27991,Location: Vandergriff Hyundai ,5199.0,berkshire,sedan
46,2021 Volkswagen ,missing,27999,Location: Orlando VW South ,9748.0,berkshire,sedan
47,2021 Toyota ,missing,28005,Location: Vandergriff Toyota ,18004.0,berkshire,sedan
48,2021 Chevrolet ,missing,28011,Location: Toyota of Dallas ,10873.0,berkshire,sedan
49,2021 Honda ,missing,28100,Location: Bell Honda ,679.0,berkshire,sedan
50,2021 Nissan ,missing,28747,Location: Gwinnett Place Nissan ,2665.0,berkshire,sedan
51,2021 Acura ,missing,28999,Location: Vandergriff Acura ,1195.0,berkshire,sedan
52,2021 Honda ,missing,29195,Location: Bell Honda ,1685.0,berkshire,sedan
53,2021 Toyota ,missing,30083,Location: Vandergriff Toyota ,3098.0,berkshire,sedan
54,2021 Kia ,missing,30500,Location: Honda of Fort Worth ,10207.0,berkshire,sedan
55,2021 Honda ,missing,30992,Location: Bell Honda ,1870.0,berkshire,sedan
56,2021 Kia ,missing,30995,Location: Reliable Toyota ,9635.0,berkshire,sedan
57,2021 Nissan ,missing,31857,Location: Peoria Nissan ,6540.0,berkshire,sedan
58,2021 Toyota ,missing,32800,Location: McKinney Buick GMC ,5096.0,berkshire,sedan
59,2021 Toyota ,missing,33000,Location: Grapevine Ford ,9843.0,berkshire,sedan
60,2021 Toyota ,missing,33274,Location: Toyota of Richardson ,9248.0,berkshire,sedan
61,2021 Toyota ,missing,33776,Location: Superstition Springs Lexus ,5012.0,berkshire,sedan
62,2021 Acura ,missing,34921,Location: Vandergriff Acura ,6604.0,berkshire,sedan
63,2021 Acura ,missing,34998,Location: Vandergriff Acura ,6605.0,berkshire,sedan
64,2021 Kia ,missing,35000,Location: Joe Myers Imports ,13862.0,berkshire,sedan
65,2021 Dodge ,missing,35100,Location: Crest Cadillac ,5740.0,berkshire,sedan
66,2021 Toyota ,missing,missing,Location: Crest Cadillac ,12784.0,berkshire,sedan
67,2021 Toyota ,missing,35488,Location: Camelback Toyota ,4918.0,berkshire,sedan
68,2021 Dodge ,missing,36477,Location: Mall of Georgia Ford ,12296.0,berkshire,sedan
69,2021 Acura ,missing,36998,Location: Vandergriff Acura ,8487.0,berkshire,sedan
70,2021 Acura ,missing,37477,Location: Vandergriff Acura ,6571.0,berkshire,sedan
71,2021 Acura ,missing,37498,Location: Vandergriff Acura ,4472.0,berkshire,sedan
72,2021 Acura ,missing,37798,Location: Vandergriff Acura ,4275.0,berkshire,sedan
73,2021 Acura ,missing,38323,Location: Vandergriff Acura ,2078.0,berkshire,sedan
74,2021 Acura ,missing,38498,Location: Vandergriff Acura ,5127.0,berkshire,sedan
75,2021 Acura ,missing,38498,Location: Vandergriff Acura ,5344.0,berkshire,sedan
76,2021 Acura ,missing,38499,Location: Vandergriff Acura ,5882.0,berkshire,sedan
77,2021 Acura ,missing,missing,Location: Vandergriff Acura ,6013.0,berkshire,sedan
78,2021 Acura ,missing,38798,Location: Vandergriff Acura ,3010.0,berkshire,sedan
79,2021 Acura ,missing,38998,Location: Vandergriff Acura ,5377.0,berkshire,sedan
80,2021 Acura ,missing,38998,Location: Vandergriff Acura ,5111.0,berkshire,sedan
81,2021 Acura ,missing,39498,Location: Vandergriff Acura ,3830.0,berkshire,sedan
82,2021 Acura ,missing,missing,Location: Vandergriff Acura ,5475.0,berkshire,sedan
83,2021 Acura ,missing,39599,Location: Vandergriff Acura ,4705.0,berkshire,sedan
84,2021 Acura ,missing,39638,Location: Vandergriff Acura ,2092.0,berkshire,sedan
85,2021 Acura ,missing,39799,Location: Vandergriff Acura ,2418.0,berkshire,sedan
86,2021 Acura ,missing,39900,Location: Vandergriff Acura ,1218.0,berkshire,sedan
87,2021 Acura ,missing,40498,Location: Vandergriff Acura ,6975.0,berkshire,sedan
88,2021 Acura ,missing,40795,Location: Vandergriff Acura ,4347.0,berkshire,sedan
89,2021 Acura ,missing,40799,Location: Vandergriff Acura ,2331.0,berkshire,sedan
90,2021 Acura ,missing,40799,Location: Vandergriff Acura ,3521.0,berkshire,sedan
91,2021 Acura ,missing,40799,Location: Vandergriff Acura ,2755.0,berkshire,sedan
92,2021 LEXUS ,missing,41987,Location: Reliable Lexus ,5402.0,berkshire,sedan
93,2021 LEXUS ,missing,41987,Location: Reliable Toyota ,5402.0,berkshire,sedan
94,2021 Acura ,missing,43495,Location: Vandergriff Acura ,5158.0,berkshire,sedan
95,2021 Acura ,missing,43900,Location: Vandergriff Acura ,2323.0,berkshire,sedan
96,2021 Acura ,missing,43900,Location: Vandergriff Acura ,4754.0,berkshire,sedan
97,2021 Acura ,missing,44299,Location: Vandergriff Acura ,5274.0,berkshire,sedan
98,2021 LEXUS ,missing,44487,Location: Superstition Springs Lexus ,4371.0,berkshire,sedan
99,2021 Acura ,missing,44499,Location: Vandergriff Acura ,2751.0,berkshire,sedan
100,2021 Acura ,missing,44670,Location: Vandergriff Acura ,4807.0,berkshire,sedan
101,2021 Acura ,missing,44730,Location: Vandergriff Acura ,1606.0,berkshire,sedan
102,2021 LEXUS ,missing,45172,Location: South County Lexus ,2392.0,berkshire,sedan
103,2021 Acura ,missing,45298,Location: Vandergriff Acura ,5.0,berkshire,sedan
104,2021 Acura ,missing,45599,Location: Vandergriff Acura ,2533.0,berkshire,sedan
105,2021 Cadillac ,missing,46998,Location: Crest Cadillac ,6690.0,berkshire,sedan
106,2021 Acura ,missing,46999,Location: Vandergriff Acura ,1353.0,berkshire,sedan
107,2021 BMW ,missing,47585,Location: BMW of Lincoln ,5621.0,berkshire,sedan
108,2021 Acura ,missing,47649,Location: Vandergriff Acura ,896.0,berkshire,sedan
109,2021 INFINITI ,missing,48998,Location: Crest INFINITI ,12249.0,berkshire,sedan
110,2021 Volvo ,missing,52480,Location: Crest Volvo Cars ,12212.0,berkshire,sedan
111,2021 INFINITI ,missing,56888,Location: INFINITI of Scottsdale ,3000.0,berkshire,sedan
112,2021 Volvo ,missing,56998,Location: Crest Volvo Cars ,22212.0,berkshire,sedan
113,2021 LEXUS ,missing,76995,Location: Superstition Springs Lexus ,2541.0,berkshire,sedan
114,2021 Nissan ,missing,missing,Location: Joe Myers Toyota ,13024.0,berkshire,sedan
115,2021 Toyota ,missing,missing,Location: Texas Toyota of Grapevine ,44389.0,berkshire,sedan
116,2021 BMW ,missing,missing,Location: BMW of Lincoln ,4647.0,berkshire,sedan
117,2020 Toyota ,missing,16945,Location: Texas Toyota of Grapevine ,57652.0,berkshire,sedan
118,2020 Nissan ,missing,16996,Location: Midway Nissan ,17940.0,berkshire,sedan
119,2020 Nissan ,missing,17298,Location: Midway Nissan ,8014.0,berkshire,sedan
120,2020 Toyota ,missing,17355,Location: Texas Toyota of Grapevine ,54796.0,berkshire,sedan
121,2020 Nissan ,missing,17362,Location: Reliable Nissan ,15526.0,berkshire,sedan
122,2020 Toyota ,missing,17383,Location: Texas Toyota of Grapevine ,54962.0,berkshire,sedan
123,2020 Toyota ,missing,17397,Location: Texas Toyota of Grapevine ,52416.0,berkshire,sedan
124,2020 Toyota ,missing,17497,Location: Texas Toyota of Grapevine ,53049.0,berkshire,sedan
125,2020 Toyota ,missing,17570,Location: Texas Toyota of Grapevine ,51560.0,berkshire,sedan
126,2020 Kia ,missing,17585,Location: Camelback Kia ,13450.0,berkshire,sedan
127,2020 Toyota ,missing,17599,Location: Texas Toyota of Grapevine ,51021.0,berkshire,sedan
128,2020 Kia ,missing,17600,Location: Showcase Honda ,22519.0,berkshire,sedan
129,2020 Toyota ,missing,17611,Location: Texas Toyota of Grapevine ,50552.0,berkshire,sedan
130,2020 Toyota ,missing,17701,Location: Texas Toyota of Grapevine ,58664.0,berkshire,sedan
131,2020 Toyota ,missing,17702,Location: Texas Toyota of Grapevine ,61886.0,berkshire,sedan
132,2020 Nissan ,missing,17769,Location: South County Lexus ,30002.0,berkshire,sedan
133,2020 Toyota ,missing,17817,Location: Texas Toyota of Grapevine ,57147.0,berkshire,sedan
134,2020 Toyota ,missing,17837,Location: Texas Toyota of Grapevine ,57370.0,berkshire,sedan
135,2020 Kia ,missing,17889,Location: ABC Nissan ,27025.0,berkshire,sedan
136,2020 Toyota ,missing,17913,Location: Texas Toyota of Grapevine ,52652.0,berkshire,sedan
137,2020 Toyota ,missing,17989,Location: Texas Toyota of Grapevine ,54165.0,berkshire,sedan
138,2020 Toyota ,missing,17989,Location: Texas Toyota of Grapevine ,53234.0,berkshire,sedan
139,2020 Toyota ,missing,17989,Location: Texas Toyota of Grapevine ,53848.0,berkshire,sedan
140,2020 Toyota ,missing,17991,Location: Texas Toyota of Grapevine ,44071.0,berkshire,sedan
141,2020 Nissan ,missing,17997,Location: Reliable Nissan ,26954.0,berkshire,sedan
142,2020 Hyundai ,missing,17998,Location: Van Hyundai ,28405.0,berkshire,sedan
143,2020 Hyundai ,missing,18083,Location: Camelback Hyundai ,30764.0,berkshire,sedan
144,2020 Toyota ,missing,18488,Location: Camelback Toyota ,31833.0,berkshire,sedan
145,2020 Nissan ,missing,18588,Location: ABC Nissan ,18012.0,berkshire,sedan
146,2020 Toyota ,missing,18595,Location: Toyota of Deerfield Beach ,64523.0,berkshire,sedan
147,2020 Toyota ,missing,18597,Location: Toyota of Deerfield Beach ,30513.0,berkshire,sedan
148,2020 Toyota ,missing,18777,Location: Gwinnett Place Nissan ,46569.0,berkshire,sedan
