,year_make,model_trim,price,state,miles,source
0,2022 Volkswagen ,missing,"$33,264",Location: Toyota of Dallas ,203.0,berkshire
1,2022 Mitsubishi ,missing,"$35,487",Location: Toyota of Richardson ,3214.0,berkshire
2,2022 Acura ,missing,"$48,499",Location: Vandergriff Acura ,4944.0,berkshire
3,2022 Acura ,missing,"$48,999",Location: Vandergriff Acura ,4716.0,berkshire
4,2022 Acura ,missing,"$49,999",Location: Vandergriff Acura ,6577.0,berkshire
5,2022 Acura ,missing,"$51,999",Location: Vandergriff Acura ,1157.0,berkshire
6,2022 Acura ,missing,"$52,998",Location: Vandergriff Acura ,5098.0,berkshire
7,2021 Chevrolet ,missing,"$20,491",Location: North Park Toyota of San Antonio ,11246.0,berkshire
8,2021 Chevrolet ,missing,"$20,688",Location: Van Chevrolet ,10106.0,berkshire
9,2021 Chevrolet ,missing,"$21,991",Location: Kenny Kent Chevrolet ,12010.0,berkshire
10,2021 Volkswagen ,missing,"$23,977",Location: Orlando VW South ,16034.0,berkshire
11,2021 Volkswagen ,missing,"$23,997",Location: Orlando VW South ,14518.0,berkshire
12,2021 Kia ,missing,"$24,997",Location: Cerritos Nissan ,11628.0,berkshire
13,2021 Kia ,missing,"$25,629",Location: Camelback Kia ,1126.0,berkshire
14,2021 Volkswagen ,missing,"$25,680",Location: Camelback Volkswagen ,7952.0,berkshire
15,2021 Volkswagen ,missing,"$26,760",Location: Camelback Volkswagen ,8438.0,berkshire
16,2021 Honda ,missing,"$26,991",Location: Kenny Kent Chevrolet ,3637.0,berkshire
17,2021 Ford ,missing,"$26,991",Location: Serramonte Ford ,5418.0,berkshire
18,2021 Ford ,missing,"$26,994",Location: Serramonte Ford ,6198.0,berkshire
19,2021 Ford ,missing,"$26,994",Location: Serramonte Ford ,6198.0,berkshire
20,2021 Ford ,missing,"$27,992",Location: Serramonte Ford ,4404.0,berkshire
21,2021 Ford ,missing,"$27,992",Location: Serramonte Ford ,4404.0,berkshire
22,2021 Volkswagen ,missing,"$28,299",Location: Orlando VW North ,11834.0,berkshire
23,2021 Kia ,missing,"$28,498",Location: Vandergriff Acura ,7912.0,berkshire
24,2021 Hyundai ,missing,"$28,895",Location: Reliable Toyota ,4571.0,berkshire
25,2021 Jeep ,missing,"$28,975",Location: Camelback Hyundai ,5107.0,berkshire
26,2021 Jeep ,missing,"$29,000",Location: Village Pointe Toyota ,7478.0,berkshire
27,2021 Nissan ,missing,"$30,475",Location: Gwinnett Place Nissan ,1368.0,berkshire
28,2021 Nissan ,missing,"$30,743",Location: Crest Nissan ,192.0,berkshire
29,2021 Toyota ,missing,"$31,987",Location: Toyota of Richardson ,19527.0,berkshire
30,2021 Toyota ,missing,"$31,997",Location: Orlando VW South ,2521.0,berkshire
31,2021 Volkswagen ,missing,"$32,998",Location: Camelback Toyota ,11134.0,berkshire
32,2021 Toyota ,missing,"$33,491",Location: North Park Toyota of San Antonio ,9601.0,berkshire
33,2021 Toyota ,missing,"$33,495",Location: Seminole Toyota ,14931.0,berkshire
34,2021 Toyota ,missing,"$33,874",Location: Toyota of Richardson ,25077.0,berkshire
35,2021 Honda ,missing,"$33,899",Location: Vandergriff Acura ,7581.0,berkshire
36,2021 Volkswagen ,missing,"$33,940",Location: Orlando VW South ,15200.0,berkshire
37,2021 Toyota ,missing,"$34,428",Location: Vandergriff Toyota ,17822.0,berkshire
38,2021 Ford ,missing,"$34,990",Location: Vandergriff Chevrolet ,5619.0,berkshire
39,2021 Jeep ,missing,"$34,990",Location: Seminole Chevrolet ,8221.0,berkshire
40,2021 Acura ,missing,"$34,998",Location: Acura Of Peoria ,12578.0,berkshire
41,2021 Ford ,missing,"$35,288",Location: Westway Ford ,7461.0,berkshire
42,2021 Toyota ,missing,"$35,447",Location: Toyota of Richardson ,4229.0,berkshire
43,2021 Jeep ,missing,"$35,500",Location: Town East Ford ,4249.0,berkshire
44,2021 Subaru ,missing,"$36,641",Location: South County Lexus ,2897.0,berkshire
45,2021 Honda ,missing,"$37,000",Location: Showcase Honda ,6785.0,berkshire
46,2021 Volkswagen ,missing,"$37,093",Location: Airpark Dodge Chrysler Jeep ,3243.0,berkshire
47,2021 Toyota ,missing,"$37,419",Location: Toyota of Dallas ,7623.0,berkshire
48,2021 Acura ,missing,"$37,799",Location: Vandergriff Acura ,6585.0,berkshire
49,2021 Acura ,missing,"$37,999",Location: Vandergriff Acura ,6623.0,berkshire
50,2021 Toyota ,missing,"$38,447",Location: Toyota of Richardson ,17439.0,berkshire
51,2021 Toyota ,missing,"$38,591",Location: North Park Toyota of San Antonio ,15548.0,berkshire
52,2021 Nissan ,missing,"$38,774",Location: Vandergriff Toyota ,21643.0,berkshire
53,2021 Acura ,missing,"$38,998",Location: Vandergriff Acura ,262.0,berkshire
54,2021 Acura ,missing,"$38,999",Location: Vandergriff Acura ,3057.0,berkshire
55,2021 Chevrolet ,missing,"$39,866",Location: Vandergriff Chevrolet ,15120.0,berkshire
56,2021 Cadillac ,missing,"$39,950",Location: Arrowhead Cadillac ,7021.0,berkshire
57,2021 Toyota ,missing,"$39,991",Location: Van Hyundai ,11124.0,berkshire
58,2021 Nissan ,missing,"$39,999",Location: Cerritos Nissan ,78.0,berkshire
59,2021 Ford ,missing,"$40,475",Location: Serramonte Ford ,222.0,berkshire
60,2021 Toyota ,missing,"$41,577",Location: Joe Myers Toyota ,8450.0,berkshire
61,2021 Kia ,missing,"$41,580",Location: Airpark Dodge Chrysler Jeep ,9388.0,berkshire
62,2021 Acura ,missing,"$41,615",Location: Vandergriff Acura ,2294.0,berkshire
63,2021 Acura ,missing,"$41,627",Location: Vandergriff Acura ,5.0,berkshire
64,2021 LEXUS ,missing,"$41,987",Location: Reliable Toyota ,15829.0,berkshire
65,2021 LEXUS ,missing,"$41,987",Location: Reliable Lexus ,15829.0,berkshire
66,2021 Ford ,missing,"$41,991",Location: Serramonte Ford ,222.0,berkshire
67,2021 Ford ,missing,"$41,991",Location: Serramonte Ford ,4152.0,berkshire
68,2021 Toyota ,missing,"$42,249",Location: Vandergriff Toyota ,10637.0,berkshire
69,2021 Honda ,missing,"$42,488",Location: Camelback Toyota ,30323.0,berkshire
70,2021 Toyota ,missing,"$42,574",Location: Toyota of Richardson ,17485.0,berkshire
71,2021 LEXUS ,missing,"$42,650",Location: South County Lexus ,109.0,berkshire
72,2021 Kia ,missing,"$42,990",Location: Vandergriff Chevrolet ,7741.0,berkshire
73,2021 INFINITI ,missing,"$42,993",Location: INFINITI on Camelback ,1090.0,berkshire
74,2021 Nissan ,missing,"$42,997",Location: Gwinnett Place Nissan ,3590.0,berkshire
75,2021 Toyota ,missing,"$43,690",Location: INFINITI of Springfield ,21768.0,berkshire
76,2021 Acura ,missing,"$43,998",Location: Vandergriff Acura ,2602.0,berkshire
77,2021 Jeep ,missing,"$43,999",Location: Airpark Dodge Chrysler Jeep ,11903.0,berkshire
78,2021 Toyota ,missing,"$44,391",Location: North Park Toyota of San Antonio ,19545.0,berkshire
79,2021 Nissan ,missing,"$44,643",Location: Vandergriff Toyota ,20509.0,berkshire
80,2021 Ford ,missing,"$44,888",Location: Peoria Ford ,3696.0,berkshire
81,2021 Toyota ,missing,"$45,687",Location: Toyota of Deerfield Beach ,1536.0,berkshire
82,2021 Acura ,missing,"$45,757",Location: Vandergriff Acura ,2682.0,berkshire
83,2021 Acura ,missing,"$45,988",Location: Vandergriff Acura ,3084.0,berkshire
84,2021 Volkswagen ,missing,"$45,999",Location: Orlando VW South ,14926.0,berkshire
85,2021 Volvo ,missing,"$46,240",Location: Crest Volvo Cars ,5741.0,berkshire
86,2021 Ford ,missing,"$46,334",Location: Serramonte Ford ,4152.0,berkshire
87,2021 LEXUS ,missing,"$46,685",Location: South County Lexus ,1564.0,berkshire
88,2021 Toyota ,missing,"$46,874",Location: Toyota of Richardson ,22429.0,berkshire
89,2021 Cadillac ,missing,"$46,995",Location: Reliable Toyota ,5718.0,berkshire
90,2021 Acura ,missing,"$46,999",Location: Vandergriff Acura ,873.0,berkshire
91,2021 Acura ,missing,"$46,999",Location: Vandergriff Acura ,2061.0,berkshire
92,2021 LEXUS ,missing,"$47,497",Location: Richardson Chrysler Jeep Dodge Ram ,2550.0,berkshire
