,year_make,model_trim,price,state,miles,source,type
0,2014 Acura,TSX Special Edition,19998,MD,54000.0,carmax,sedan
1,2019 Acura,TLX ,28998,MD,26000.0,carmax,sedan
2,2019 Acura,TLX ,28998,MD,26000.0,carmax,sedan
3,2015 Acura,TLX ,22998,MD,40000.0,carmax,sedan
4,2019 Acura,TLX ,29998,MD,14000.0,carmax,sedan
5,2019 Acura,TLX ,28998,MD,17000.0,carmax,sedan
6,2020 Acura,TLX ,33998,MD,4000.0,carmax,sedan
7,2016 Acura,ILX ,18998,VA,97000.0,carmax,sedan
8,2015 Acura,TLX ,20998,VA,73000.0,carmax,sedan
9,2020 Acura,TLX ,30998,VA,16000.0,carmax,sedan
10,2019 Acura,TLX ,29998,VA,17000.0,carmax,sedan
11,2018 Acura,ILX ,24998,VA,17000.0,carmax,sedan
12,2020 Acura,TLX ,27998,PA,30000.0,carmax,sedan
13,2019 Acura,TLX ,29998,MD,10000.0,carmax,sedan
14,2018 Acura,ILX ,24998,VA,22000.0,carmax,sedan
15,2019 Acura,TLX ,25998,VA,40000.0,carmax,sedan
16,2018 Acura,TLX ,26998,VA,35000.0,carmax,sedan
17,2021 Acura,TLX SH-AWD Advance,46998,VA,3000.0,carmax,sedan
18,2015 Acura,TLX ,21998,VA,62000.0,carmax,sedan
19,2015 Acura,TLX ,22998,VA,48000.0,carmax,sedan
20,2021 Acura,TLX SH-AWD Advance,45998,VA,7000.0,carmax,sedan
21,2017 Acura,RLX ,31998,VA,45000.0,carmax,sedan
22,2014 Acura,ILX ,16998,OH,80000.0,carmax,sedan
23,2020 Acura,TLX ,35998,OH,8000.0,carmax,sedan
24,2019 Acura,ILX ,27998,NC,4000.0,carmax,sedan
25,2019 Acura,TLX ,27998,NC,29000.0,carmax,sedan
26,2019 Acura,TLX ,29998,NC,20000.0,carmax,sedan
27,2021 Acura,ILX ,30998,OH,5000.0,carmax,sedan
28,2020 Acura,TLX ,29998,OH,14000.0,carmax,sedan
29,2015 Acura,TLX ,23998,MA,38000.0,carmax,sedan
30,2021 Acura,ILX ,29998,NC,7000.0,carmax,sedan
31,2015 Acura,TLX ,19998,MA,83000.0,carmax,sedan
32,2020 Acura,TLX ,31998,OH,12000.0,carmax,sedan
33,2020 Acura,TLX ,33998,MA,3000.0,carmax,sedan
34,2019 Acura,ILX ,24998,NC,27000.0,carmax,sedan
35,2019 Acura,TLX ,26998,OH,36000.0,carmax,sedan
36,2020 Acura,TLX ,31998,NC,8000.0,carmax,sedan
37,2017 Acura,ILX ,21998,OH,34000.0,carmax,sedan
38,2018 Acura,ILX ,21998,OH,34000.0,carmax,sedan
39,2017 Acura,ILX ,20998,OH,55000.0,carmax,sedan
40,2020 Acura,TLX ,27998,NC,15000.0,carmax,sedan
41,2018 Acura,TLX ,28998,NC,6000.0,carmax,sedan
42,2019 Acura,TLX ,27998,NC,22000.0,carmax,sedan
43,2018 Acura,ILX Special Edition,20998,NC,41000.0,carmax,sedan
44,2015 Acura,TLX ,23998,OH,58000.0,carmax,sedan
45,2015 Acura,TLX ,23998,KY,40000.0,carmax,sedan
46,2019 Acura,TLX ,26998,SC,41000.0,carmax,sedan
47,2019 Acura,TLX ,34998,IN,7000.0,carmax,sedan
48,2018 Acura,ILX ,23998,TN,20000.0,carmax,sedan
49,2019 Acura,TLX ,28998,SC,21000.0,carmax,sedan
50,2019 Acura,TLX ,26998,SC,33000.0,carmax,sedan
51,2017 Acura,TLX ,23998,GA,41000.0,carmax,sedan
52,2021 Acura,TLX SH-AWD,39998,IN,3000.0,carmax,sedan
53,2015 Acura,TLX ,23998,TN,38000.0,carmax,sedan
54,2019 Acura,TLX ,29998,TN,15000.0,carmax,sedan
55,2018 Acura,TLX ,27998,TN,29000.0,carmax,sedan
56,2014 Acura,TL ,21998,GA,67000.0,carmax,sedan
57,2021 Acura,TLX SH-AWD A-Spec,43998,IL,5000.0,carmax,sedan
58,2019 Acura,TLX ,29998,IL,20000.0,carmax,sedan
59,2019 Acura,ILX ,24998,IL,28000.0,carmax,sedan
60,2015 Acura,TLX ,19998,IL,56000.0,carmax,sedan
61,2015 Acura,TLX ,20998,IL,48000.0,carmax,sedan
62,2019 Acura,TLX ,24998,WI,46000.0,carmax,sedan
63,2015 Acura,ILX ,18998,WI,60000.0,carmax,sedan
64,2019 Acura,TLX ,36998,GA,19000.0,carmax,sedan
65,2020 Acura,TLX ,32998,GA,16000.0,carmax,sedan
66,2019 Acura,TLX ,25998,IL,39000.0,carmax,sedan
67,2020 Acura,ILX ,28998,TN,13000.0,carmax,sedan
68,2020 Acura,TLX ,31998,TN,13000.0,carmax,sedan
