,year_make,model_trim,price,state,miles,source
0,2019 Acura,RDX ,37998,PA,31000.0,carmax
1,2020 Acura,RDX ,40998,MD,22000.0,carmax
2,2020 Acura,RDX ,38998,MD,17000.0,carmax
3,2020 Acura,RDX ,40998,MD,17000.0,carmax
4,2015 Acura,MDX ,27998,PA,45000.0,carmax
5,2016 Acura,MDX ,28998,PA,69000.0,carmax
6,2013 Acura,RDX AWD,24998,MD,32000.0,carmax
7,2016 Acura,MDX Advance,32998,MD,47000.0,carmax
8,2018 Acura,MDX ,40998,VA,17000.0,carmax
9,2018 Acura,MDX ,40998,VA,18000.0,carmax
10,2010 Acura,MDX ,17998,DE,86000.0,carmax
11,2020 Acura,RDX ,40998,MD,16000.0,carmax
12,2021 Acura,RDX SH-AWD A-Spec,44998,VA,16000.0,carmax
13,2018 Acura,RDX ,31998,VA,14000.0,carmax
14,2015 Acura,RDX ,23998,VA,48000.0,carmax
15,2019 Acura,MDX Advance,41998,VA,39000.0,carmax
16,2011 Acura,RDX SH-AWD,18998,VA,53000.0,carmax
17,2020 Acura,RDX ,42998,VA,6000.0,carmax
18,2015 Acura,RDX AWD,23998,VA,55000.0,carmax
19,2018 Acura,RDX ,29998,NY,26000.0,carmax
20,2018 Acura,MDX Sport Hybrid Advance,39998,NY,39000.0,carmax
21,2019 Acura,RDX ,37998,CT,10000.0,carmax
22,2018 Acura,MDX ,36998,CT,45000.0,carmax
23,2015 Acura,MDX ,28998,CT,54000.0,carmax
24,2020 Acura,RDX ,38998,VA,32000.0,carmax
25,2013 Acura,RDX AWD,16998,CT,96000.0,carmax
26,2016 Acura,MDX ,21998,CT,122000.0,carmax
27,2018 Acura,MDX ,37998,NC,19000.0,carmax
28,2010 Acura,RDX SH-AWD,14998,NC,100000.0,carmax
29,2014 Acura,MDX ,21998,OH,104000.0,carmax
30,2014 Acura,RDX AWD,19998,MA,93000.0,carmax
31,2016 Acura,RDX AWD,26998,MA,47000.0,carmax
32,2019 Acura,MDX ,43998,OH,7000.0,carmax
33,2019 Acura,RDX ,36998,MA,34000.0,carmax
34,2019 Acura,MDX ,39998,MA,20000.0,carmax
35,2019 Acura,RDX ,37998,MA,15000.0,carmax
36,2015 Acura,MDX ,29998,NH,31000.0,carmax
37,2018 Acura,MDX ,37998,NC,24000.0,carmax
38,2018 Acura,MDX ,40998,TN,14000.0,carmax
39,2020 Acura,RDX ,43998,TN,13000.0,carmax
40,2018 Acura,RDX ,28998,TN,32000.0,carmax
41,2019 Acura,RDX ,37998,OH,9000.0,carmax
42,2017 Acura,MDX ,34998,NC,26000.0,carmax
43,2020 Acura,RDX ,40998,NC,16000.0,carmax
44,2020 Acura,RDX ,44998,NC,18000.0,carmax
45,2018 Acura,MDX ,36998,ME,25000.0,carmax
46,2016 Acura,MDX Advance,33998,ME,29000.0,carmax
47,2019 Acura,RDX ,38998,KY,14000.0,carmax
48,2020 Acura,RDX ,38998,NC,40000.0,carmax
49,2018 Acura,MDX ,35998,KY,45000.0,carmax
50,2020 Acura,RDX ,40998,IN,15000.0,carmax
51,2019 Acura,MDX ,37998,TN,27000.0,carmax
52,2018 Acura,RDX ,32998,TN,26000.0,carmax
53,2018 Acura,RDX ,24998,IN,88000.0,carmax
54,2019 Acura,RDX ,30998,TN,58000.0,carmax
55,2021 Acura,RDX ,40998,TN,11000.0,carmax
56,2018 Acura,MDX ,35998,TN,48000.0,carmax
57,2017 Acura,MDX ,30998,TN,76000.0,carmax
58,2020 Acura,RDX ,40998,GA,7000.0,carmax
59,2017 Acura,RDX ,23998,GA,60000.0,carmax
60,2020 Acura,MDX ,42998,IL,11000.0,carmax
61,2020 Acura,MDX ,44998,IL,20000.0,carmax
62,2019 Acura,RDX ,36998,IL,28000.0,carmax
63,2020 Acura,RDX ,37998,IL,11000.0,carmax
64,2019 Acura,RDX ,35998,IL,23000.0,carmax
65,2018 Acura,MDX ,34998,IL,35000.0,carmax
66,2017 Acura,RDX ,27998,WI,57000.0,carmax
67,2018 Acura,MDX ,35998,WI,43000.0,carmax
68,2020 Acura,RDX ,45998,WI,7000.0,carmax
69,2020 Acura,RDX ,40998,WI,7000.0,carmax
70,2017 Acura,RDX AWD,28998,WI,42000.0,carmax
71,2017 Acura,MDX ,33998,TN,51000.0,carmax
72,2019 Acura,MDX ,35998,GA,20000.0,carmax
73,2016 Acura,RDX AWD,26998,IL,36000.0,carmax
74,2016 Acura,RDX ,20998,GA,82000.0,carmax
75,2020 Acura,RDX ,39998,TN,5000.0,carmax
76,2018 Acura,MDX Sport Hybrid Advance,41998,GA,24000.0,carmax
77,2020 Acura,RDX ,39998,TN,10000.0,carmax
78,2020 Acura,RDX ,41998,GA,9000.0,carmax
79,2016 Acura,RDX AWD,21998,IL,61000.0,carmax
80,2016 Acura,MDX Advance,27998,GA,78000.0,carmax
81,2015 Acura,RDX AWD,19998,GA,93000.0,carmax
82,2020 Acura,RDX ,41998,FL,17000.0,carmax
83,2020 Acura,RDX ,37998,AL,28000.0,carmax
84,2013 Acura,RDX ,22998,AL,44000.0,carmax
85,2020 Acura,RDX ,38998,FL,10000.0,carmax
86,2020 Acura,RDX ,38998,FL,10000.0,carmax
87,2020 Acura,RDX ,37998,FL,15000.0,carmax
88,2017 Acura,MDX ,34998,MS,34000.0,carmax
89,2019 Acura,RDX ,34998,TN,40000.0,carmax
90,2015 Acura,RDX ,21998,FL,51000.0,carmax
91,2019 Acura,MDX ,39998,FL,17000.0,carmax
92,2019 Acura,RDX ,32998,FL,38000.0,carmax
93,2020 Acura,RDX ,42998,FL,4000.0,carmax
94,2019 Acura,MDX ,43998,FL,28000.0,carmax
95,2017 Acura,RDX ,26998,FL,32000.0,carmax
96,2014 Acura,MDX ,26998,IA,57000.0,carmax
97,2017 Acura,MDX ,33998,FL,28000.0,carmax
98,2019 Acura,RDX ,40998,MN,21000.0,carmax
99,2016 Acura,MDX Advance,22998,FL,110000.0,carmax
100,2020 Acura,RDX ,39998,AL,6000.0,carmax
101,2019 Acura,RDX ,36998,AL,18000.0,carmax
102,2018 Acura,RDX ,27998,AL,25000.0,carmax
103,2018 Acura,MDX ,34998,MS,17000.0,carmax
104,2017 Acura,RDX ,29998,MS,22000.0,carmax
105,2020 Acura,RDX ,35998,FL,23000.0,carmax
106,2014 Acura,MDX ,21998,FL,101000.0,carmax
107,2017 Acura,RDX AWD,20998,KS,119000.0,carmax
108,2018 Acura,MDX ,38998,MO,24000.0,carmax
109,2019 Acura,MDX ,36998,FL,21000.0,carmax
110,2020 Acura,RDX ,37998,FL,24000.0,carmax
111,2019 Acura,MDX ,35998,FL,22000.0,carmax
112,2018 Acura,MDX ,36998,FL,14000.0,carmax
