,year_make,model_trim,price,state,miles,source,type
0,2016 Acura ,missing,19997,missing,41205.0,sonic,sedan
1,2016 Acura ,missing,18499,missing,46222.0,sonic,sedan
2,2018 Acura ,missing,21298,missing,6555.0,sonic,sedan
3,2018 Acura ,missing,20999,missing,48805.0,sonic,sedan
4,2020 Acura ,missing,26488,missing,12418.0,sonic,sedan
5,2019 Acura ,missing,24198,missing,16588.0,sonic,sedan
6,2018 Acura ,missing,22607,missing,17249.0,sonic,sedan
7,2018 Acura ,missing,22698,missing,27474.0,sonic,sedan
8,2016 Acura ,missing,14999,missing,122708.0,sonic,sedan
9,2021 Acura ,missing,28216,missing,7068.0,sonic,sedan
10,2019 Acura ,missing,25298,missing,20669.0,sonic,sedan
11,2013 Acura ,missing,13997,missing,67695.0,sonic,sedan
12,2014 Acura ,missing,14796,missing,145019.0,sonic,sedan
13,2015 Acura ,missing,20398,missing,71099.0,sonic,sedan
14,2012 Acura ,missing,11999,missing,130029.0,sonic,sedan
15,2013 Acura ,missing,15999,missing,75157.0,sonic,sedan
16,2012 Acura ,missing,13997,missing,72207.0,sonic,sedan
17,2020 Acura ,missing,28498,missing,12085.0,sonic,sedan
18,2019 Acura ,missing,26999,missing,29260.0,sonic,sedan
19,2018 Acura ,missing,25499,missing,31269.0,sonic,sedan
20,2018 Acura ,missing,Please Call,missing,46000.0,sonic,sedan
21,2020 Acura ,missing,33999,missing,7378.0,sonic,sedan
22,2015 Acura ,missing,16998,missing,82330.0,sonic,sedan
23,2015 Acura ,missing,13898,missing,136067.0,sonic,sedan
24,2015 Acura ,missing,19499,missing,65760.0,sonic,sedan
25,2015 Acura ,missing,21798,missing,61196.0,sonic,sedan
26,2015 Acura ,missing,21287,missing,46848.0,sonic,sedan
27,2016 Acura ,missing,19996,missing,54100.0,sonic,sedan
28,2016 Acura ,missing,18588,missing,73037.0,sonic,sedan
29,2018 Acura ,missing,33999,missing,42128.0,sonic,sedan
30,2019 Acura ,missing,32998,missing,31149.0,sonic,sedan
31,2018 Acura ,missing,29999,missing,40528.0,sonic,sedan
32,2019 Acura ,missing,29196,missing,37111.0,sonic,sedan
33,2019 Acura ,missing,31597,missing,25940.0,sonic,sedan
34,2012 Acura ,missing,9999,missing,157374.0,sonic,sedan
35,2012 Acura ,missing,12999,missing,106586.0,sonic,sedan
36,2017 Alfa Romeo ,missing,25999,missing,22570.0,sonic,sedan
37,2017 Alfa Romeo ,missing,25998,missing,23852.0,sonic,sedan
38,2019 Alfa Romeo ,missing,26798,missing,42369.0,sonic,sedan
39,2017 Alfa Romeo ,missing,28998,missing,31342.0,sonic,sedan
40,2018 Alfa Romeo ,missing,29788,missing,37287.0,sonic,sedan
41,2019 Alfa Romeo ,missing,Please Call,missing,17467.0,sonic,sedan
42,2016 Audi ,missing,20999,missing,30257.0,sonic,sedan
43,2016 Audi ,missing,17999,missing,75978.0,sonic,sedan
44,2015 Audi ,missing,13999,missing,144391.0,sonic,sedan
45,2019 Audi ,missing,28497,missing,16615.0,sonic,sedan
46,2018 Audi ,missing,24499,missing,31990.0,sonic,sedan
47,2018 Audi ,missing,28999,missing,9191.0,sonic,sedan
48,2018 Audi ,missing,24498,missing,41061.0,sonic,sedan
49,2017 Audi ,missing,23398,missing,37107.0,sonic,sedan
50,2016 Audi ,missing,20999,missing,53459.0,sonic,sedan
51,2015 Audi ,missing,17499,missing,93632.0,sonic,sedan
52,2018 Audi ,missing,25499,missing,19527.0,sonic,sedan
53,2018 Audi ,missing,23498,missing,32299.0,sonic,sedan
54,2018 Audi ,missing,26486,missing,26500.0,sonic,sedan
55,2017 Audi ,missing,20996,missing,56038.0,sonic,sedan
56,2018 Audi ,missing,29996,missing,5436.0,sonic,sedan
57,2018 Audi ,missing,26998,missing,37124.0,sonic,sedan
58,2011 Audi ,missing,10998,missing,71299.0,sonic,sedan
59,2014 Audi ,missing,15499,missing,84489.0,sonic,sedan
60,2013 Audi ,missing,13998,missing,80732.0,sonic,sedan
61,2012 Audi ,missing,12999,missing,104117.0,sonic,sedan
62,2018 Audi ,missing,27999,missing,43168.0,sonic,sedan
63,2018 Audi ,missing,27999,missing,29771.0,sonic,sedan
64,2018 Audi ,missing,27295,missing,22899.0,sonic,sedan
65,2021 Audi ,missing,37999,missing,2756.0,sonic,sedan
66,2020 Audi ,missing,36999,missing,4825.0,sonic,sedan
67,2020 Audi ,missing,36996,missing,10692.0,sonic,sedan
68,2019 Audi ,missing,26297,missing,54263.0,sonic,sedan
69,2019 Audi ,missing,30498,missing,15947.0,sonic,sedan
70,2018 Audi ,missing,30999,missing,33921.0,sonic,sedan
71,2018 Audi ,missing,27598,missing,47337.0,sonic,sedan
72,2017 Audi ,missing,23599,missing,43087.0,sonic,sedan
73,2015 Audi ,missing,17999,missing,54132.0,sonic,sedan
74,2013 Audi ,missing,17197,missing,80342.0,sonic,sedan
75,2020 Audi ,missing,Please Call,missing,5722.0,sonic,sedan
76,2019 Audi ,missing,30697,missing,52743.0,sonic,sedan
77,2019 Audi ,missing,32447,missing,31928.0,sonic,sedan
78,2019 Audi ,missing,35497,missing,15191.0,sonic,sedan
79,2018 Audi ,missing,34999,missing,6774.0,sonic,sedan
80,2018 Audi ,missing,30999,missing,30291.0,sonic,sedan
81,2018 Audi ,missing,32999,missing,21400.0,sonic,sedan
82,2017 Audi ,missing,28999,missing,40342.0,sonic,sedan
83,2016 Audi ,missing,22999,missing,59838.0,sonic,sedan
84,2015 Audi ,missing,17499,missing,93700.0,sonic,sedan
85,2014 Audi ,missing,21499,missing,23859.0,sonic,sedan
86,2014 Audi ,missing,19098,missing,68096.0,sonic,sedan
87,2019 Audi ,missing,42499,missing,4801.0,sonic,sedan
88,2018 Audi ,missing,32999,missing,12175.0,sonic,sedan
89,2018 Audi ,missing,30999,missing,37279.0,sonic,sedan
90,2018 Audi ,missing,27996,missing,33424.0,sonic,sedan
91,2018 Audi ,missing,28888,missing,29878.0,sonic,sedan
92,2020 Audi ,missing,35999,missing,16746.0,sonic,sedan
93,2017 Audi ,missing,22999,missing,82587.0,sonic,sedan
94,2016 Audi ,missing,24999,missing,62371.0,sonic,sedan
95,2013 Audi ,missing,Please Call,missing,85411.0,sonic,sedan
96,2013 Audi ,missing,16999,missing,85411.0,sonic,sedan
97,2015 Audi ,missing,15998,missing,82651.0,sonic,sedan
98,2019 Audi ,missing,43996,missing,19397.0,sonic,sedan
99,2021 Audi ,missing,49996,missing,7278.0,sonic,sedan
100,2018 Audi ,missing,35999,missing,17242.0,sonic,sedan
101,2018 Audi ,missing,32996,missing,38784.0,sonic,sedan
102,2018 Audi ,missing,31598,missing,36185.0,sonic,sedan
103,2017 Audi ,missing,24999,missing,64241.0,sonic,sedan
104,2019 Audi ,missing,49698,missing,20530.0,sonic,sedan
105,2019 Audi ,missing,49999,missing,21668.0,sonic,sedan
106,2018 Audi ,missing,35499,missing,40424.0,sonic,sedan
