,year_make,model_trim,price,state,miles,source
0,2019 Acura ,missing,33596,missing,46226.0,sonic
1,2019 Acura ,missing,34498,missing,43417.0,sonic
2,2016 Acura ,missing,19999,missing,99396.0,sonic
3,2019 Acura ,missing,37999,missing,17581.0,sonic
4,2015 Acura ,missing,19497,missing,128193.0,sonic
5,2018 Acura ,missing,32999,missing,27170.0,sonic
6,2019 Acura ,missing,32996,missing,43308.0,sonic
7,2014 Acura ,missing,23498,missing,57959.0,sonic
8,2020 Acura ,missing,41898,missing,8332.0,sonic
9,2018 Acura ,missing,33999,missing,34719.0,sonic
10,2018 Acura ,missing,32498,missing,40661.0,sonic
11,2020 Acura ,missing,44999,missing,19711.0,sonic
12,2019 Acura ,missing,40596,missing,38676.0,sonic
13,2017 Acura ,missing,25999,missing,91650.0,sonic
14,2016 Acura ,missing,23599,missing,109419.0,sonic
15,2019 Acura ,missing,36999,missing,27151.0,sonic
16,2018 Acura ,missing,33398,missing,48376.0,sonic
17,2018 Acura ,missing,37998,missing,21228.0,sonic
18,2018 Acura ,missing,35998,missing,29798.0,sonic
19,2017 Acura ,missing,31999,missing,45062.0,sonic
20,2017 Acura ,missing,Please Call,missing,45755.0,sonic
21,2020 Acura ,missing,39499,missing,8171.0,sonic
22,2021 Acura ,missing,47621,missing,5437.0,sonic
23,2021 Acura ,missing,43997,missing,1253.0,sonic
24,2020 Acura ,missing,40797,missing,18719.0,sonic
25,2020 Acura ,missing,41999,missing,15038.0,sonic
26,2019 Acura ,missing,37999,missing,31216.0,sonic
27,2018 Acura ,missing,25887,missing,27439.0,sonic
28,2015 Acura ,missing,13999,missing,157739.0,sonic
29,2014 Acura ,missing,12997,missing,170153.0,sonic
30,2019 Acura ,missing,36487,missing,32061.0,sonic
31,2015 Acura ,missing,16696,missing,68274.0,sonic
32,2016 Acura ,missing,18999,missing,107431.0,sonic
33,2015 Acura ,missing,19499,missing,82395.0,sonic
34,2014 Acura ,missing,18499,missing,74833.0,sonic
35,2019 Acura ,missing,32428,missing,27612.0,sonic
36,2017 Acura ,missing,20797,missing,56416.0,sonic
37,2013 Acura ,missing,13999,missing,111068.0,sonic
38,2020 Acura ,missing,37999,missing,34942.0,sonic
39,2018 Acura ,missing,26999,missing,34897.0,sonic
40,2018 Acura ,missing,24596,missing,25504.0,sonic
41,2018 Acura ,missing,26999,missing,31813.0,sonic
42,2017 Acura ,missing,24499,missing,41732.0,sonic
43,2019 Acura ,missing,38196,missing,26991.0,sonic
44,2019 Acura ,missing,37999,missing,29956.0,sonic
45,2019 Acura ,missing,37299,missing,21865.0,sonic
46,2019 Acura ,missing,34105,missing,51061.0,sonic
47,2019 Acura ,missing,35488,missing,26965.0,sonic
48,2017 Acura ,missing,20996,missing,88658.0,sonic
49,2017 Acura ,missing,23497,missing,61635.0,sonic
50,2021 Acura ,missing,40599,missing,10968.0,sonic
51,2020 Acura ,missing,38999,missing,7778.0,sonic
52,2020 Acura ,missing,35599,missing,44959.0,sonic
53,2019 Acura ,missing,35499,missing,25109.0,sonic
54,2018 Acura ,missing,25799,missing,43837.0,sonic
55,2017 Acura ,missing,25499,missing,31851.0,sonic
56,2019 Acura ,missing,29498,missing,42698.0,sonic
57,2018 Alfa Romeo ,missing,29198,missing,29998.0,sonic
58,2018 Alfa Romeo ,missing,30999,missing,44833.0,sonic
59,2018 Alfa Romeo ,missing,31798,missing,14668.0,sonic
60,2018 Alfa Romeo ,missing,31798,missing,35882.0,sonic
61,2018 Alfa Romeo ,missing,28499,missing,40042.0,sonic
62,2017 Audi ,missing,19999,missing,77238.0,sonic
63,2017 Audi ,missing,19798,missing,97597.0,sonic
64,2016 Audi ,missing,24999,missing,54112.0,sonic
65,2015 Audi ,missing,20497,missing,56040.0,sonic
66,2016 Audi ,missing,24999,missing,36146.0,sonic
67,2018 Audi ,missing,29999,missing,14682.0,sonic
68,2018 Audi ,missing,29698,missing,33500.0,sonic
69,2018 Audi ,missing,24499,missing,58564.0,sonic
70,2018 Audi ,missing,26599,missing,42755.0,sonic
71,2018 Audi ,missing,32999,missing,3956.0,sonic
72,2018 Audi ,missing,26999,missing,17924.0,sonic
73,2018 Audi ,missing,Please Call,missing,43260.0,sonic
74,2018 Audi ,missing,27898,missing,44567.0,sonic
75,2017 Audi ,missing,24999,missing,41320.0,sonic
76,2017 Audi ,missing,24998,missing,35993.0,sonic
77,2018 Audi ,missing,32999,missing,20202.0,sonic
78,2018 Audi ,missing,24996,missing,54554.0,sonic
79,2018 Audi ,missing,32197,missing,22099.0,sonic
80,2018 Audi ,missing,26996,missing,48952.0,sonic
81,2016 Audi ,missing,24999,missing,41949.0,sonic
82,2018 Audi ,missing,25999,missing,59406.0,sonic
83,2018 Audi ,missing,30999,missing,18405.0,sonic
84,2018 Audi ,missing,31998,missing,19732.0,sonic
85,2018 Audi ,missing,30798,missing,53655.0,sonic
86,2018 Audi ,missing,Please Call,missing,61084.0,sonic
87,2018 Audi ,missing,31297,missing,53655.0,sonic
88,2018 Audi ,missing,32398,missing,43862.0,sonic
89,2018 Audi ,missing,30996,missing,44434.0,sonic
90,2018 Audi ,missing,33797,missing,46118.0,sonic
91,2016 Audi ,missing,24999,missing,68912.0,sonic
92,2016 Audi ,missing,24999,missing,68912.0,sonic
93,2021 Audi ,missing,41996,missing,9395.0,sonic
94,2021 Audi ,missing,41996,missing,6771.0,sonic
95,2021 Audi ,missing,42599,missing,5031.0,sonic
96,2021 Audi ,missing,Please Call,missing,2388.0,sonic
97,2020 Audi ,missing,39599,missing,25403.0,sonic
98,2020 Audi ,missing,41998,missing,5211.0,sonic
99,2020 Audi ,missing,39496,missing,15715.0,sonic
100,2019 Audi ,missing,34287,missing,31267.0,sonic
101,2019 Audi ,missing,34999,missing,33691.0,sonic
102,2019 Audi ,missing,34999,missing,28803.0,sonic
103,2018 Audi ,missing,27996,missing,53163.0,sonic
104,2018 Audi ,missing,27998,missing,70737.0,sonic
105,2018 Audi ,missing,32998,missing,19111.0,sonic
106,2016 Audi ,missing,23999,missing,52437.0,sonic
107,2020 Audi ,missing,44996,missing,10330.0,sonic
108,2020 Audi ,missing,44998,missing,21923.0,sonic
109,2020 Audi ,missing,45996,missing,6247.0,sonic
110,2020 Audi ,missing,39998,missing,18046.0,sonic
111,2019 Audi ,missing,41599,missing,12162.0,sonic
112,2019 Audi ,missing,39999,missing,25727.0,sonic
113,2019 Audi ,missing,41998,missing,11410.0,sonic
114,2019 Audi ,missing,39499,missing,27228.0,sonic
115,2018 Audi ,missing,34996,missing,20352.0,sonic
116,2018 Audi ,missing,36999,missing,20540.0,sonic
117,2018 Audi ,missing,35599,missing,43732.0,sonic
